,flow,numberOfCars,travelTime
750,0.219,3,11.64604931093102
751,0.146,2,11.65240327037699
752,0.14,2,11.895283759053488
753,0.282,4,11.876783567480357
754,0.229,3,11.637718904883563
755,0.239,3,11.209259847026217
756,0.33,4,11.568177580304702
757,0.357,5,11.417305698968491
758,0.3,4,11.469826930472514
759,0.399,4,11.004372862988973
760,0.476,5,11.752344959019561
761,0.546,6,11.423801802089573
762,0.361,5,12.233465466485576
763,0.457,5,11.178411152539898
764,0.441,6,12.92261887625777
765,0.4,6,12.31945351404078
766,0.334,5,12.488074740393
767,0.335,5,12.60556325647854
768,0.276,4,12.321210493789643
769,0.4,6,12.797336756532399
770,0.342,5,12.76292863590366
771,0.359,5,12.25588634808232
772,0.271,4,13.397557358159352
773,0.238,3,11.169826348203276
774,0.151,2,11.79564519721336
775,0.343,3,11.719297317680093
776,0.303,3,11.58420584235597
777,0.292,4,10.955252512676829
778,0.43,5,11.057159519170636
779,0.4,5,11.117898842466927
780,0.237,3,11.437914145190508
781,0.382,4,11.505393733477964
782,0.154,2,11.559381362781117
783,0.306,3,11.422545012758608
784,0.232,3,11.23457347441351
785,0.273,4,11.972152086161994
786,0.292,4,12.083061347747535
787,0.263,4,12.040695174521534
788,0.356,5,11.483350168264561
789,0.301,4,11.954403003489325
790,0.231,3,11.326885877178157
791,0.15,2,11.480905512954964
792,0.296,3,11.718707684778014
793,0.153,2,11.70328278794132
794,0.409,4,11.885575421744923
795,0.283,4,12.18995282756663
796,0.282,4,12.278818576449002
797,0.37,5,12.555518945592828
798,0.367,5,12.09790840131627
799,0.297,4,12.019949207200114
800,0.371,4,11.846734135977737
801,0.227,3,11.808584488001639
802,0.237,3,11.317836926083547
803,0.248,3,12.06706082176806
804,0.367,4,12.012839832702088
805,0.332,5,12.140192349279236
806,0.291,4,12.291388912835513
807,0.293,4,12.16421841843463
808,0.332,4,12.033272185566236
809,0.368,4,12.019271600723862
810,0.293,4,12.135773235628754
811,0.156,2,11.414943457603957
812,0.381,4,11.170852147257904
813,0.234,3,11.271848317405738
814,0.492,5,11.538023928499921
815,0.384,5,11.548036966756282
816,0.39,5,11.473785522724166
817,0.306,4,11.604965054676402
818,0.407,4,10.990119088121677
819,0.398,5,10.672641007235647
820,0.256,3,10.510156163612677
821,0.57,5,10.516708549150133
822,0.403,5,10.918013659141192
823,0.407,5,11.099630688746588
824,0.408,5,10.85792718030787
825,0.413,5,10.466785853923996
826,0.323,4,10.729078341014894
827,0.364,4,10.761627773438358
